Code,Communes,Part_des_menages
02468,Marle,9.6
02469,Marly-Gomont,4.1
02470,Martigny,9.1
02471,Martigny-Courpierre,10.2
02472,Mauregny-en-Haye,0
02473,Mayot,10.5
02474,Mennessis,5.1
02475,Menneville,2.6
02476,Mennevret,1.6
02477,Mercin-et-Vaux,9.4
02478,Merlieux-et-Fouquerolles,11.1
02479,Merval,16.7
02480,Mesbrecourt-Richecourt,9.7
02481,Mesnil-Saint-Laurent,4.3
02482,Meurival,0
02483,Mézières-sur-Oise,0
02484,Mézy-Moulins,3.9
02485,Missy-aux-Bois,0
02486,Missy-lès-Pierrepont,0
02487,Missy-sur-Aisne,10.9
02488,Molain,0
02489,Molinchart,3.4
02490,Monampteuil,0
02491,Monceau-le-Neuf-et-Faucouzy,7.5
02492,Monceau-lès-Leups,11.4
02493,Monceau-le-Waast,4.2
02494,Monceau-sur-Oise,7.7
02495,Mondrepuis,7
02496,Monnes,0
02497,Mons-en-Laonnois,4.3
02498,Montaigu,5.2
02499,Montbavin,25
02500,Montbrehain,14.6
02501,Montchâlons,0
02502,Montcornet,13.1
02503,Mont-d'Origny,10.3
02504,Montescourt-Lizerolles,7.6
02505,Montfaucon,4.8
02506,Montgobert,13.6
02507,Montgru-Saint-Hilaire,0
02508,Monthenault,0
02509,Monthiers,6.3
02510,Monthurel,0
02511,Montigny-en-Arrouaise,0
02512,Montigny-l'Allier,11.1
02513,Montigny-le-Franc,0
02514,Montigny-Lengrain,3
02515,Montigny-lès-Condé,20
02516,Montigny-sous-Marle,0
02517,Montigny-sur-Crécy,3.1
02518,Montlevon,3.6
02519,Montloué,6.7
02520,Mont-Notre-Dame,8.6
02521,Montreuil-aux-Lions,6.2
02522,Mont-Saint-Jean,0
02523,Mont-Saint-Martin,0
02524,Mont-Saint-Père,9
02525,Morcourt,7.8
02526,Morgny-en-Thiérache,0
02527,Morsain,9.3
02528,Mortefontaine,0
02529,Mortiers,10
02530,Moulins,0
02531,Moussy-Verneuil,0
02532,Moÿ-de-l'Aisne,8.7
02533,Muret-et-Crouttes,0
02534,Muscourt,20
02535,Nampcelles-la-Cour,8.3
02536,Nampteuil-sous-Muret,0
02537,Nanteuil-la-Fosse,0
02538,Nanteuil-Notre-Dame,11.1
02539,Nauroy,0
02540,Nesles-la-Montagne,8.8
02541,Neufchâtel-sur-Aisne,4.8
02542,Neuflieux,0
02543,Neuilly-Saint-Front,6
02544,Neuve-Maison,19
02545,La Neuville-Bosmont,11.8
02546,La Neuville-en-Beine,5.6
02547,La Neuville-Housset,0
02548,La Neuville-lès-Dorengt,7.9
02549,Neuville-Saint-Amand,9
02550,Neuville-sur-Ailette,9.1
02551,Neuville-sur-Margival,9.1
02552,Neuvillette,5.6
02553,Nizy-le-Comte,7.1
02554,Nogentel,3.7
02555,Nogent-l'Artaud,7.1
02556,Noircourt,11.1
02557,Noroy-sur-Ourcq,7.7
02558,Le Nouvion-en-Thiérache,10.8
02559,Nouvion-et-Catillon,5.5
02560,Nouvion-le-Comte,3.7
02561,Nouvion-le-Vineux,0
02562,Nouvron-Vingré,6.2
02563,Noyales,16.7
02564,Noyant-et-Aconin,4.3
02565,Œuilly,7.1
02566,Ognes,7.3
02567,Ohis,8
02568,Oigny-en-Valois,7.1
02569,Oisy,10.9
02570,Ollezy,0
02571,Omissy,7.4
02572,Orainville,8.3
02573,Orgeval,0
02574,Origny-en-Thiérache,8.7
02575,Origny-Sainte-Benoite,13.2
02576,Osly-Courtil,3.6
02577,Ostel,0
02578,Oulches-la-Vallée-Foulon,0
02579,Oulchy-la-Ville,7.1
02580,Oulchy-le-Château,6.1
02581,Paars,11.5
02582,Paissy,0
02583,Pancy-Courtecon,0
02584,Papleux,11.1
02585,Parcy-et-Tigny,4.3
02586,Parfondeval,6.3
02587,Parfondru,11.4
02588,Pargnan,0
02589,Pargny-Filain,0
02590,Pargny-la-Dhuys,5.6
02591,Pargny-les-Bois,6.7
02592,Parpeville,8.3
02593,Pasly,4.8
02594,Passy-en-Valois,0
02595,Passy-sur-Marne,13.3
02596,Pavant,6.6
02597,Perles,14.3
02598,Pernant,3
