code_com,code_dept,commune,part_des_menages
59241,59,Floyon,5.6
59242,59,Fontaine-au-Bois,10.4
59243,59,Fontaine-au-Pire,2.6
59244,59,Fontaine-Notre-Dame,8.4
59246,59,Forest-en-Cambrésis,5.7
59247,59,Forest-sur-Marque,8.0
59249,59,Fourmies,13.5
59250,59,Fournes-en-Weppes,8.2
59251,59,Frasnoy,3.1
59252,59,Frelinghien,11.0
59253,59,Fresnes-sur-Escaut,14.5
59254,59,Fressain,3.3
59255,59,Fressies,14.0
59256,59,Fretin,9.3
59257,59,Fromelles,2.9
59258,59,Genech,5.2
59259,59,Ghissignies,12.8
59260,59,Ghyvelde,7.0
59261,59,Glageon,13.7
59262,59,Godewaersvelde,4.3
59263,59,Gœulzin,7.2
59264,59,Gognies-Chaussée,6.3
59265,59,Gommegnies,6.4
59266,59,Gondecourt,6.3
59267,59,Gonnelieu,6.3
59268,59,La Gorgue,8.7
59269,59,Gouzeaucourt,15.9
59270,59,Grand-Fayt,2.6
59271,59,Grande-Synthe,14.1
59272,59,Grand-Fort-Philippe,10.3
59273,59,Gravelines,9.5
59274,59,La Groise,6.3
59275,59,Gruson,1.9
59276,59,Guesnain,9.8
59277,59,Gussignies,2.9
59278,59,Hallennes-lez-Haubourdin,8.2
59279,59,Halluin,9.9
59280,59,Hamel,12.0
59281,59,Hantay,10.1
59282,59,Hardifort,0.0
59283,59,Hargnies,5.3
59284,59,Hasnon,6.4
59285,59,Haspres,8.2
59286,59,Haubourdin,11.4
59287,59,Haucourt-en-Cambrésis,4.5
59288,59,Haulchin,8.2
59289,59,Haussy,6.6
59290,59,Haut-Lieu,7.9
59291,59,Hautmont,16.2
59292,59,Haveluy,9.4
59293,59,Haverskerque,6.8
59294,59,Haynecourt,4.2
59295,59,Hazebrouck,10.2
59296,59,Hecq,6.3
59297,59,Hélesmes,7.8
59299,59,Hem,12.0
59300,59,Hem-Lenglet,6.5
59301,59,Hergnies,9.4
59302,59,Hérin,11.5
59303,59,Herlies,12.3
59304,59,Herrin,5.6
59305,59,Herzeele,4.1
59306,59,Hestrud,3.9
59307,59,Holque,14.3
59308,59,Hondeghem,6.5
59309,59,Hondschoote,5.4
59310,59,Hon-Hergies,10.8
59311,59,Honnechy,15.7
59312,59,Honnecourt-sur-Escaut,8.6
59313,59,Hordain,7.5
59314,59,Hornaing,9.5
59315,59,Houdain-lez-Bavay,6.1
59316,59,Houplin-Ancoisne,9.0
59317,59,Houplines,11.5
59318,59,Houtkerque,7.3
59319,59,Hoymille,4.4
59320,59,Illies,7.5
59321,59,Inchy,9.1
59322,59,Iwuy,11.7
59323,59,Jenlain,1.8
59324,59,Jeumont,14.9
59325,59,Jolimetz,8.0
59326,59,Killem,3.1
59327,59,Lallaing,13.0
59328,59,Lambersart,10.2
59329,59,Lambres-lez-Douai,8.6
59330,59,Landas,6.4
59331,59,Landrecies,11.9
59332,59,Lannoy,14.8
59333,59,Larouillies,7.4
59334,59,Lauwin-Planque,8.6
59335,59,Lecelles,8.3
59336,59,Lécluse,9.4
59337,59,Lederzeele,7.1
59338,59,Ledringhem,5.0
59339,59,Leers,7.7
59340,59,Leffrinckoucke,9.7
59341,59,Lesdain,5.6
59342,59,Lez-Fontaine,0.0
59343,59,Lesquin,9.4
59344,59,Leval,10.0
59345,59,Lewarde,10.8
59346,59,Lezennes,9.7
59347,59,Liessies,10.0
59348,59,Lieu-Saint-Amand,9.8
59349,59,Ligny-en-Cambrésis,8.3
59350,59,Lille,8.2
59351,59,Limont-Fontaine,1.8
59352,59,Linselles,10.3
59353,59,Locquignol,5.4
59354,59,Loffre,6.7
59356,59,Lompret,6.2
59357,59,La Longueville,9.8
59358,59,Looberghe,6.1
59359,59,Loon-Plage,9.3
59360,59,Loos,12.7
59361,59,Lourches,12.5
59363,59,Louvignies-Quesnoy,9.3
59364,59,Louvil,7.4
59365,59,Louvroil,18.9
59366,59,Lynde,3.5
59367,59,Lys-lez-Lannoy,11.9
59368,59,La Madeleine,9.5
59369,59,Maing,8.0
59370,59,Mairieux,6.3
59371,59,Le Maisnil,3.4
59372,59,Malincourt,5.8
59374,59,Marbaix,2.6
59375,59,Marchiennes,7.8
59377,59,Marcoing,11.5
59378,59,Marcq-en-Barœul,9.8
59379,59,Marcq-en-Ostrevent,4.4
59381,59,Maresches,8.4
59382,59,Maretz,7.0
59383,59,Marly,10.1
59384,59,Maroilles,9.3
59385,59,Marpent,10.6
59386,59,Marquette-lez-Lille,11.7
59387,59,Marquette-en-Ostrevant,9.1
59388,59,Marquillies,4.5
59389,59,Masnières,8.1
59390,59,Masny,11.4
59391,59,Mastaing,5.7
59392,59,Maubeuge,13.9
59393,59,Maulde,9.6
59394,59,Maurois,3.4
59395,59,Mazinghien,6.5
59396,59,Mecquignies,7.5
59397,59,Merckeghem,6.4
59398,59,Mérignies,4.3
59399,59,Merris,5.7
59400,59,Merville,9.2
59401,59,Méteren,6.5
59402,59,Millam,4.2
59403,59,Millonfosse,9.5
59404,59,Les Moëres,4.7
59405,59,Mœuvres,7.3
59406,59,Monceau-Saint-Waast,2.1
59407,59,Monchaux-sur-Écaillon,4.5
59408,59,Moncheaux,7.0
59409,59,Monchecourt,11.9
59410,59,Mons-en-Barœul,13.0
59411,59,Mons-en-Pévèle,5.6
59412,59,Montay,20.0
59413,59,Montigny-en-Cambrésis,7.8
59414,59,Montigny-en-Ostrevent,9.5
59415,59,Montrécourt,13.0
59416,59,Morbecque,8.2
59418,59,Mortagne-du-Nord,14.5
59419,59,Mouchin,5.0
59420,59,Moustier-en-Fagne,20.0
59421,59,Mouvaux,8.3
59422,59,Naves,4.9
59423,59,Neuf-Berquin,11.7
59424,59,Neuf-Mesnil,13.2
59425,59,Neuville-en-Avesnois,8.3
59426,59,Neuville-en-Ferrain,8.4
59427,59,La Neuville,4.5
59428,59,Neuville-Saint-Rémy,10.9
59429,59,Neuville-sur-Escaut,8.8
59430,59,Neuvilly,9.5
59431,59,Nieppe,9.4
59432,59,Niergnies,9.6
59433,59,Nieurlet,8.9
59434,59,Nivelle,7.2
59435,59,Nomain,6.5
59436,59,Noordpeene,2.6
59437,59,Noyelles-lès-Seclin,4.8
59438,59,Noyelles-sur-Escaut,8.0
59439,59,Noyelles-sur-Sambre,3.4
59440,59,Noyelles-sur-Selle,2.6
59441,59,Obies,4.3
59442,59,Obrechies,3.7
59443,59,Ochtezeele,0.0
59444,59,Odomez,14.1
59445,59,Ohain,8.8
59446,59,Oisy,11.1
59447,59,Onnaing,12.4
59448,59,Oost-Cappel,4.2
59449,59,Orchies,10.2
59450,59,Ors,9.1
59451,59,Orsinval,14.8
59452,59,Ostricourt,11.1
59453,59,Oudezeele,6.6
59454,59,Oxelaëre,7.5
59455,59,Paillencourt,6.0
59456,59,Pecquencourt,11.3
59457,59,Pérenchies,13.1
59458,59,Péronne-en-Mélantois,8.7
59459,59,Petite-Forêt,9.5
59461,59,Petit-Fayt,7.1
59462,59,Phalempin,9.6
59463,59,Pitgam,1.1
59464,59,Poix-du-Nord,9.9
59465,59,Pommereuil,10.7
59466,59,Pont-à-Marcq,9.6
59467,59,Pont-sur-Sambre,10.4
59468,59,Potelle,5.4
59469,59,Pradelles,0.0
59470,59,Prémesques,7.0
59471,59,Préseau,4.8
59472,59,Preux-au-Bois,11.9
59473,59,Preux-au-Sart,7.7
59474,59,Prisches,7.3
59475,59,Prouvy,9.1
59476,59,Proville,9.0
59477,59,Provin,11.1
59478,59,Quaëdypre,8.3
59479,59,Quarouble,8.4
59480,59,Quérénaing,7.5
59481,59,Le Quesnoy,14.7
59482,59,Quesnoy-sur-Deûle,8.4
59483,59,Quiévelon,0.0
59484,59,Quiévrechain,12.4
59485,59,Quiévy,9.3
59486,59,Râches,6.6
59487,59,Radinghem-en-Weppes,4.1
59488,59,Raillencourt-Sainte-Olle,7.4
59489,59,Raimbeaucourt,7.0
59490,59,Rainsars,5.0
59491,59,Raismes,12.3
59492,59,Ramillies,10.3
59493,59,Ramousies,0.0
59494,59,Raucourt-au-Bois,16.7
59495,59,Recquignies,10.2
59496,59,Rejet-de-Beaulieu,4.8
59497,59,Renescure,7.7
59498,59,Reumont,14.3
59499,59,Rexpoëde,4.4
59500,59,Ribécourt-la-Tour,5.3
59501,59,Rieulay,12.5
59502,59,Rieux-en-Cambrésis,8.9
59503,59,Robersart,0.0
59504,59,Rœulx,9.7
59505,59,Rombies-et-Marchipont,4.3
59506,59,Romeries,8.8
59507,59,Ronchin,11.0
59508,59,Roncq,9.7
59509,59,Roost-Warendin,7.8
59511,59,Rosult,6.5
59512,59,Roubaix,16.8
59513,59,Roucourt,6.8
59514,59,Rousies,9.3
59515,59,Rouvignies,0.0
59516,59,Rubrouck,8.5
59517,59,Les Rues-des-Vignes,4.3
59518,59,Ruesnes,4.5
59519,59,Rumegies,4.1
59520,59,Rumilly-en-Cambrésis,9.4
59521,59,Sailly-lez-Cambrai,10.9
59522,59,Sailly-lez-Lannoy,7.5
59523,59,Sainghin-en-Mélantois,6.6
59524,59,Sainghin-en-Weppes,9.8
59525,59,Sains-du-Nord,9.3
59526,59,Saint-Amand-les-Eaux,12.3
59527,59,Saint-André-lez-Lille,10.9
59528,59,Saint-Aubert,7.9
59529,59,Saint-Aubin,5.6
59530,59,Saint-Aybert,3.0
59531,59,Saint-Benin,16.2
59532,59,Saint-Georges-sur-l'Aa,0.0
59533,59,Saint-Hilaire-lez-Cambrai,9.5
59534,59,Saint-Hilaire-sur-Helpe,3.8
59535,59,Saint-Jans-Cappel,4.9
59536,59,Sainte-Marie-Cappel,4.1
59537,59,Saint-Martin-sur-Écaillon,8.3
59538,59,Saint-Momelin,8.9
59539,59,Saint-Pierre-Brouck,6.7
59541,59,Saint-Python,3.9
59542,59,Saint-Remy-Chaussée,12.8
59543,59,Saint-Remy-du-Nord,9.7
59544,59,Saint-Saulve,11.3
59545,59,Saint-Souplet,5.7
59546,59,Saint-Sylvestre-Cappel,4.6
59547,59,Saint-Vaast-en-Cambrésis,13.1
59548,59,Saint-Waast,8.3
59549,59,Salesches,4.5
59550,59,Salomé,9.3
59551,59,Saméon,6.5
59552,59,Sancourt,6.3
59553,59,Santes,10.2
59554,59,Sars-et-Rosières,2.2
59555,59,Sars-Poteries,19.0
59556,59,Sassegnies,10.0
59557,59,Saultain,11.2
59558,59,Saulzoir,13.6
59559,59,Sebourg,7.7
59560,59,Seclin,11.6
59562,59,Sémeries,5.6
59563,59,Semousies,8.3
59564,59,La Sentinelle,8.4
59565,59,Sepmeries,5.0
59566,59,Sequedin,9.1
59567,59,Séranvillers-Forenville,14.7
59568,59,Sercus,5.7
59569,59,Sin-le-Noble,12.7
59570,59,Socx,10.6
59571,59,Solesmes,9.9
59572,59,Solre-le-Château,12.2
59573,59,Solrinnes,0.0
59574,59,Somain,11.8
59575,59,Sommaing,2.8
59576,59,Spycker,4.0
59577,59,Staple,7.7
59578,59,Steenbecque,7.5
59579,59,Steene,12.1
59580,59,Steenvoorde,5.3
59581,59,Steenwerck,7.1
59582,59,Strazeele,3.5
59583,59,Taisnières-en-Thiérache,6.3
59584,59,Taisnières-sur-Hon,6.5
59585,59,Templemars,9.0
59586,59,Templeuve,7.5
59587,59,Terdeghem,5.7
59588,59,Téteghem,7.0
59589,59,Thiant,9.3
59590,59,Thiennes,11.9
59591,59,Thivencelle,15.0
59592,59,Thumeries,7.0
59593,59,Thun-l'Évêque,6.2
59594,59,Thun-Saint-Amand,9.0
59595,59,Thun-Saint-Martin,7.8
59596,59,Tilloy-lez-Marchiennes,13.3
59597,59,Tilloy-lez-Cambrai,5.1
59598,59,Toufflers,8.8
59599,59,Tourcoing,14.1
59600,59,Tourmignies,1.7
59601,59,Trélon,14.9
59602,59,Tressin,6.8
59603,59,Trith-Saint-Léger,11.7
59604,59,Troisvilles,9.0
59605,59,Uxem,8.1
59606,59,Valenciennes,9.6
59607,59,Vendegies-au-Bois,12.9
59608,59,Vendegies-sur-Écaillon,6.6
59609,59,Vendeville,9.4
59610,59,Verchain-Maugré,6.3
59611,59,Verlinghem,5.0
59612,59,Vertain,0.0
59613,59,Vicq,9.9
59614,59,Viesly,5.7
59615,59,Vieux-Berquin,4.4
